Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
oral rehydration salts,"Solutions correcting water, electrolyte and acid-base disturbances > Oral","Powder for dilution in 200 mL, 500 mL, 1 L:

- glucose 75 mEq
- sodium 75 mEq or mmol/L
- chloride 65 mEq or mmol/L
- potassium 20 mEq or mmol/L
- citrate 10 mmol/L
- osmolarity 245 mOsm/L
- glucose 13.5 g/L
- sodium chloride 2.6 g/L
- potassium chloride 1.5 g/L
- trisodium citrate dihydrate 2.9 g/L","Other specified disorders of fluid, electrolyte or acid-base balance",A07CA,,Added,oral rehydration salts,"['oral rehydration salts', 'salts', 'rehydration', 'oral']"
oral rehydration salts - zinc sulfate,Medicines used in diarrhoea,Oral > Other: ORS powder for dilution and zinc sulfate solid oral dosage form 20 mg (co-packaged),Diarrhoea,A07CA,,Added,oral rehydration salts - zinc sulfate,"['oral', 'oral rehydration salts - zinc sulfate', 'rehydration', 'zinc', 'salts', 'sulfate', '-']"
oseltamivir,Other antivirals,Oral > Solid: 30 mg capsule (as phosphate); 45 mg capsule (as phosphate); 75 mg capsule (as phosphate),Influenza due to identified seasonal influenza virus,J05AH02,,Added,oseltamivir,['oseltamivir']
oxaliplatin,Cytotoxic medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection; 100 mg in vial powder for injection; 50 mg per 10 mL in 10 mL vial; 100 mg per 20 mL in 20 mL vial; 200 mg per 40 mL in 40 mL vial,Malignant neoplasm metastasis in large intestine,L01XA03,,Added,oxaliplatin,['oxaliplatin']
oxaliplatin,Cytotoxic medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection; 100 mg in vial powder for injection; 50 mg per 10 mL in 10 mL vial; 100 mg per 20 mL in 20 mL vial; 200 mg per 40 mL in 40 mL vial,Malignant neoplasms of colon,L01XA03,,Added,oxaliplatin,['oxaliplatin']
oxamniquine,Antischistosomals and other antitrematode medicines,"Oral > Liquid: 250 mg per 5 mL
Oral > Solid > capsule: 250 mg",Schistosomiasis due to Schistosoma mansoni,P02BA02,,Added,oxamniquine,['oxamniquine']
oxycodone,Opioid analgesics,,Pain,,,Added,oxycodone,['oxycodone']
oxygen,General anaesthetics and oxygen > Inhalational medicines,Respiratory > Inhalation: (medical gas),Anaesthetics and therapeutic gases,V03AN01,,Added,oxygen,['oxygen']
oxygen,Medical gases,Respiratory > Inhalation: ,Respiratory failure as acute or chronic,V03AN01,,Added,oxygen,['oxygen']
oxytetracycline,Ophthalmological preparations > Anti-infective agents,,Other specified conjunctivitis,,,Added,oxytetracycline,['oxytetracycline']
oxytetracycline,Ophthalmological preparations > Anti-infective agents,,Infectious keratitis,,,Added,oxytetracycline,['oxytetracycline']
oxytetracycline,Ophthalmological preparations > Anti-infective agents,,Infectious blepharitis,,,Added,oxytetracycline,['oxytetracycline']
oxytetracycline,Ophthalmological preparations > Anti-infective agents,,Trachoma,,,Added,oxytetracycline,['oxytetracycline']
oxytocin,Uterotonics,Parenteral > General injections > unspecified: 10 IU per  mL,Postpartum haemorrhage,H01BB02,,Added,oxytocin,['oxytocin']
p-aminosalicylate sodium,Antituberculosis medicines,Oral > Liquid: 5.52 g in sachet (equivalent to 4 g p-aminosalicylic acid) powder for oral solution,Multi-drug resistant Mycobacterium tuberculosis,J04AA01,,Added,p-aminosalicylate sodium,"['sodium', 'p-aminosalicylate', 'p-aminosalicylate sodium']"
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Other specified malignant neoplasms of the ovary,L01CD01,,Added,paclitaxel,['paclitaxel']
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Other specified malignant neoplasms of bronchus or lung,L01CD01,,Added,paclitaxel,['paclitaxel']
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Malignant neoplasms of nasopharynx,L01CD01,,Added,paclitaxel,['paclitaxel']
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Kaposi sarcoma of unspecified primary site,L01CD01,,Added,paclitaxel,['paclitaxel']
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Other specified malignant neoplasms of breast,L01CD01,,Added,paclitaxel,['paclitaxel']
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Other specified carcinomas of ovary,L01CD01,,Added,paclitaxel,['paclitaxel']
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Malignant neoplasms of breast,L01CD01,,Added,paclitaxel,['paclitaxel']
paclitaxel,Cytotoxic medicines,Parenteral > General injections > IV: 6 mg per  mL,Malignant neoplasms of cervix uteri,L01CD01,,Added,paclitaxel,['paclitaxel']
paliperidone,Medicines for psychotic disorders,"
Parenteral > General injections > IM: 25 mg in pre-filled syringe (as palmitate); 50 mg in pre-filled syringe (as palmitate); 75 mg in pre-filled syringe (as palmitate); 100 mg in pre-filled syringe (as palmitate); 150 mg in pre-filled syringe (as palmitate)",Schizophrenia or other primary psychotic disorders,,,Added,paliperidone,['paliperidone']
paliperidone,Medicines for psychotic disorders,"
Parenteral > General injections > IM: 25 mg in pre-filled syringe (as palmitate); 50 mg in pre-filled syringe (as palmitate); 75 mg in pre-filled syringe (as palmitate); 100 mg in pre-filled syringe (as palmitate); 150 mg in pre-filled syringe (as palmitate)",Schizophrenia or other primary psychotic disorders,N05AX13,,Added,paliperidone,['paliperidone']
palonosetron,Medicines for other common symptoms in palliative care,,Palliative care,,,Added,palonosetron,['palonosetron']
palonosetron,Antiemetic medicines,,Nausea or vomiting,,,Added,palonosetron,['palonosetron']
pancreatic enzymes,Pancreatic enzymes,"Oral > Solid: Age-appropriate formulations and doses including lipase, protease and amylase.",Enzyme intestinal,A09AA02,,Added,pancreatic enzymes,"['pancreatic enzymes', 'pancreatic', 'enzymes']"
paracetamol (acetaminophen),Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),"Oral > Liquid: 125 mg per 5 mL; 120 mg per 5 mL; 250 mg per 5 mL
Local > Rectal > Suppository: 100 mg; 250 mg
Oral > Solid > dispersible tablet: 100 mg; 250 mg
Oral > Solid > tablet: 250 mg; 325 mg; 500 mg",Pain,N02BE01,,Added,paracetamol (acetaminophen),"['paracetamol', 'paracetamol (acetaminophen)', '(acetaminophen)']"
paracetamol (acetaminophen),Antimigraine medicines > For treatment of acute attack,"Oral > Liquid: 125 mg per 5 mL; 120 mg per 5 mL; 250 mg per 5 mL
Local > Rectal > Suppository: 250 mg
Oral > Solid > dispersible tablet: 100 mg; 250 mg
Oral > Solid > tablet: 250 mg; 325 mg; 500 mg",Migraine,N02BE01,,Added,paracetamol (acetaminophen),"['paracetamol', 'paracetamol (acetaminophen)', '(acetaminophen)']"
paromomycin,Antileishmaniasis medicines,Parenteral > General injections > IM: 750 mg paromomycin base (as sulfate),Visceral leishmaniasis,A07AA06,,Added,paromomycin,['paromomycin']
pegaspargase,Cytotoxic medicines,Parenteral > General injections > IV: 3750 units per 5 mL in vial; 3750 units in vial powder for injection,"Lymphoid leukaemia, not elsewhere classified",L01XX24,,Added,pegaspargase,['pegaspargase']
pegfilgrastim,Immunomodulators,Parenteral > General injections > SC: 6 mg per 0.6 mL in pre-filled syringe,Acquired neutropaenia,L03AA13,,Added,pegfilgrastim,['pegfilgrastim']
pembrolizumab,Immunomodulators,"
Parenteral > General injections > IV: 50 mg powder for injection",Melanoma of skin,,,Added,pembrolizumab,['pembrolizumab']
penicillamine,Antidotes and other substances used in poisonings > Specific,Oral > Solid: 250 mg,"Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified",M01CC01,,Added,penicillamine,['penicillamine']
penicillamine,Disease-modifying anti-rheumatic drugs (DMARDs),Oral > Solid: 250 mg,"Rheumatoid arthritis, serology unspecified",M01CC01,,Added,penicillamine,['penicillamine']
pentamidine,Medicines for the treatment of 1st stage African trypanosomiasis,Parenteral > General injections > IM: 300 mg in vial (as isetionate) powder for injection,African trypanosomiasis,P01CX01,,Added,pentamidine,['pentamidine']
pentamidine,Antipneumocystosis and antitoxoplasmosis medicines,Oral > Solid > tablet: 200 mg (as isethionate); 300 mg (as isethionate),Pneumocystosis,P01CX01,,Added,pentamidine,['pentamidine']
permethrin,Dermatological medicines > Scabicides and pediculicides,"Local > Topical > Lotion: 1%
Local > Topical > Cream: 5%",Pediculosis corporis,P03AC04,,Added,permethrin,['permethrin']
permethrin,Dermatological medicines > Scabicides and pediculicides,"Local > Topical > Lotion: 1%
Local > Topical > Cream: 5%",Pediculosis capitis,P03AC04,,Added,permethrin,['permethrin']
permethrin,Dermatological medicines > Scabicides and pediculicides,"Local > Topical > Lotion: 1%
Local > Topical > Cream: 5%",Scabies,P03AC04,,Added,permethrin,['permethrin']
pertussis vaccine,Recommendations for all immunization programmes,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against pertussis alone,J07AJ02,,Added,pertussis vaccine,"['pertussis vaccine', 'vaccine', 'pertussis']"
phenobarbital,Antiseizure medicines,"Oral > Liquid: 15 mg per 5 mL
Oral > Solid: 15 to 100 mg
Parenteral > General injections > IV: 200 mg per  mL (phenobarbital sodium); 30 mg per  mL (phenobarbital sodium); 60 mg per  mL (phenobarbital sodium)",Epilepsy or seizures,N03AA02,,Added,phenobarbital,['phenobarbital']
phenobarbital,Antiseizure medicines,"Oral > Liquid: 15 mg per 5 mL
Oral > Solid: 15 to 100 mg
Parenteral > General injections > IV: 200 mg per  mL (phenobarbital sodium); 30 mg per  mL (phenobarbital sodium); 60 mg per  mL (phenobarbital sodium)",Status epilepticus,N03AA02,,Added,phenobarbital,['phenobarbital']
phenoxymethylpenicillin,Access group antibiotics,"Oral > Liquid: 250 mg per 5 mL (as potassium salt) powder for oral liquid
Oral > Solid: 250 mg (as potassium salt) tablet
Oral > Solid: 250 mg (as potassium salt); 500 mg (as potassium salt)",Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),J01CE02,,Added,phenoxymethylpenicillin,['phenoxymethylpenicillin']
phenoxymethylpenicillin,Access group antibiotics,"Oral > Liquid: 250 mg per 5 mL (as potassium salt) powder for oral liquid
Oral > Solid: 250 mg (as potassium salt) tablet
Oral > Solid: 250 mg (as potassium salt); 500 mg (as potassium salt)",Periapical abscess without sinus,J01CE02,,Added,phenoxymethylpenicillin,['phenoxymethylpenicillin']
phenoxymethylpenicillin,Access group antibiotics,"Oral > Liquid: 250 mg per 5 mL (as potassium salt) powder for oral liquid
Oral > Solid: 250 mg (as potassium salt) tablet
Oral > Solid: 250 mg (as potassium salt); 500 mg (as potassium salt)",Acute pharyngitis,J01CE02,,Added,phenoxymethylpenicillin,['phenoxymethylpenicillin']
phenytoin,Antiseizure medicines,"Oral > Liquid: 30 mg per 5 mL (phenytoin)
Parenteral > General injections > unspecified: 50 mg per  mL in vial (phenytoin sodium)
Oral > Solid > tablet: 50 mg (phenytoin) (chewable)
Oral > Solid > dosage form: 25 mg (phenytoin sodium); 50 mg (phenytoin sodium); 100 mg (phenytoin sodium)",Epilepsy or seizures,N03AB02,,Added,phenytoin,['phenytoin']
phytomenadione,Medicines affecting coagulation,"Parenteral > General injections > IV: 10 mg per  mL in ampoule; 1 mg per  mL in ampoule
Oral > Solid: 10 mg tablet",Haemorrhagic disorder due to other specified circulating anticoagulants,B02BA01,,Added,phytomenadione,['phytomenadione']
phytomenadione,Medicines affecting coagulation,"Parenteral > General injections > IV: 10 mg per  mL in ampoule; 1 mg per  mL in ampoule
Oral > Solid: 10 mg tablet",Haemorrhagic or haematological disorders of fetus or newborn,B02BA01,,Added,phytomenadione,['phytomenadione']
pilocarpine,Ophthalmological preparations > Miotics and antiglaucoma medicines,Local > Ophthalmological > Solution (eye drops): 2% (hydrochloride or nitrate); 4% (hydrochloride or nitrate),Acute angle closure with pupillary block,S01EB01,,Added,pilocarpine,['pilocarpine']
pilocarpine,Ophthalmological preparations > Miotics and antiglaucoma medicines,Local > Ophthalmological > Solution (eye drops): 2% (hydrochloride or nitrate); 4% (hydrochloride or nitrate),Ocular hypertension,S01EB01,,Added,pilocarpine,['pilocarpine']
pilocarpine,Ophthalmological preparations > Miotics and antiglaucoma medicines,Local > Ophthalmological > Solution (eye drops): 2% (hydrochloride or nitrate); 4% (hydrochloride or nitrate),Primary open-angle glaucoma,S01EB01,,Added,pilocarpine,['pilocarpine']
piperacillin + tazobactam,Watch group antibiotics,Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection,Other specified pneumonia (Hospital-acquired pneumonia),J01CR05,,Added,piperacillin + tazobactam,"['piperacillin', 'piperacillin + tazobactam', '+', 'tazobactam']"
piperacillin + tazobactam,Watch group antibiotics,Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection,Peritonitis (severe),J01CR05,,Added,piperacillin + tazobactam,"['piperacillin', 'piperacillin + tazobactam', '+', 'tazobactam']"
piperacillin + tazobactam,Watch group antibiotics,Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection,Neutropenia (high-risk),J01CR05,,Added,piperacillin + tazobactam,"['piperacillin', 'piperacillin + tazobactam', '+', 'tazobactam']"
piperacillin + tazobactam,Watch group antibiotics,Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection,Peritoneal abscess (severe),J01CR05,,Added,piperacillin + tazobactam,"['piperacillin', 'piperacillin + tazobactam', '+', 'tazobactam']"
piperacillin + tazobactam,Watch group antibiotics,Parenteral > General injections > IV: 2 g (as sodium salt) + 250 mg (as sodium salt) powder for injection; 4 g (as sodium salt) + 500 mg (as sodium salt) powder for injection,Necrotising fasciitis,J01CR05,clindamycin,Added,piperacillin + tazobactam,"['piperacillin', 'piperacillin + tazobactam', '+', 'tazobactam']"
platelets,Blood and blood components,Parenteral > General injections > IV: ,Blood transfusion without reported diagnosis,B05AX02,,Added,platelets,['platelets']
plazomicin,Reserve group antibiotics,Parenteral > General injections > IV: 500 mg per 10 mL,Carbapenem resistant Acinetobacter baumannii,J01GB14,,Added,plazomicin,['plazomicin']
plazomicin,Reserve group antibiotics,Parenteral > General injections > IV: 500 mg per 10 mL,Carbapenem-resistant Pseudomonas aeruginosa,J01GB14,,Added,plazomicin,['plazomicin']
plazomicin,Reserve group antibiotics,Parenteral > General injections > IV: 500 mg per 10 mL,Carbapenem resistant Enterobacterales,J01GB14,,Added,plazomicin,['plazomicin']
pneumococcal vaccine,Recommendations for all immunization programmes,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against single bacterial diseases,J07AL01,,Added,pneumococcal vaccine,"['pneumococcal', 'vaccine', 'pneumococcal vaccine']"
podophyllotoxin,Dermatological medicines > Medicines affecting skin differentiation and proliferation,,Anogenital warts,,,Added,podophyllotoxin,['podophyllotoxin']
podophyllotoxin,Dermatological medicines > Medicines affecting skin differentiation and proliferation,,Plantar warts,,,Added,podophyllotoxin,['podophyllotoxin']
podophyllum resin,Dermatological medicines > Medicines affecting skin differentiation and proliferation,Local > Topical > Solution: 10 to 25%,Anogenital warts,D06BB04,,Added,podophyllum resin,"['podophyllum resin', 'podophyllum', 'resin']"
podophyllum resin,Dermatological medicines > Medicines affecting skin differentiation and proliferation,Local > Topical > Solution: 10 to 25%,Plantar warts,D06BB04,,Added,podophyllum resin,"['podophyllum resin', 'podophyllum', 'resin']"
poliomyelitis vaccine,Recommendations for all immunization programmes,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against poliomyelitis,"J07BF01, J07BF02, J07BF03, J07BF04",,Added,poliomyelitis vaccine,"['poliomyelitis vaccine', 'vaccine', 'poliomyelitis']"
polygeline,Plasma substitutes,"Parenteral > General injections > IV: 3.5% injectable solution
Parenteral > General injections > IV: 3.5% in solution",Hypovolaemia,,,Added,polygeline,['polygeline']
polymyxin B (injection),Reserve group antibiotics,Parenteral > General injections > IV: 500000 IU in vial powder for injection (equivalent to 50 mg polymyxin B base),Carbapenem resistant Acinetobacter baumannii,J01XB02,,Added,polymyxin b (injection),"['(injection)', 'b', 'polymyxin b (injection)', 'polymyxin']"
